course,institution,url,admission req,language req,deadline
Collaborative Research Center 1278 PolyTarget – Polymer-Based Nanoparticle Libraries for Targeted Anti-Inflammatory Strategies,Friedrich Schiller University Jena,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7771/,"Graduates with a Master's degree in chemistry, pharmacy, biotechnology or related fields",Fluent written and spoken English is required.,"At any time
(See the current announcements on the website: www.polytarget.uni-jena.de.)"
Cologne Graduate School of Ageing Research,University of Cologne,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4165/,"Applicants for the PhD programme must have an advanced academic degree (MSc or equivalent) in fields such as biology, biochemistry, biophysics, bioinformatics, bioengineering, pharmacology, neuroscience, translational medicine, or a related area. Furthermore, they must have gained sufficient research experience during their studies.
Applications will also be accepted if the Master's degree has not yet been awarded by the time of application. However, it must be awarded before the start of the individual PhD projects between July and October of the respective year.
Students holding a Bachelor's degree with outstanding grades and exceptional scientific qualification are encouraged to apply to our Master fellowship programme (https://www.ageing-grad-school.de/master/master-programme-overview/)!","To be considered for admission, applicants are expected to have excellent English skills.",The CGA offers a PhD training programme (application deadline: autumn) and a Master's fellowship programme (application deadline: 15 July).
DASHH Data Science in Hamburg – Helmholtz Graduate School for the Structure of Matter,Deutsches Elektronen-Synchrotron DESY,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7758/,"Master's degree (or an estimated date of graduation within the same year of application) in computer science, applied mathematics or natural sciences, preferably with an interdisciplinary training at the interface of natural and computer science or mathematics. Degrees from foreign universities and Master's degrees in non-research oriented study programmes (e.g. ""Fachhochschule"") might be recognised.","Fluency in written and spoken English is a prerequisite, ideally a corresponding certificate as proof of your English skills should be provided if you did not obtain your university degree in an study programme taught in English: https://www.dashh.org/application/requirements/index_eng.html.","The annual call usually opens in September.https://www.dashh.org/application/index_eng.html
Interim applications are possible under certain conditions."
DEWIN – Dynamics of Host-Pathogen Interactions,Hannover Medical School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4383/,"German diploma (""Diplom""), Master's degree or Dr med","Excellent English (TOEFL 550 (paper-based), 213 (computer-based), 80 (internet-based) or equivalent",1 March for the following winter semester
Digital Platform Ecosystems (DFG Research Training Group 2720),University of Passau,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4336/,Please visit the DPE website to find out more about open positions and how to apply.,There are no specific language requirements. Applicants should be able to work in English or German.,"The application deadline varies, depending on the advertised fellowships.Contact details of the research training group"
DIW Berlin Graduate Center (Economics),German Institute for Economic Research (DIW Berlin),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9810/,"Applicants must hold a Master's degree or diploma in economics. Degrees in other related fields (such as civil engineering, statistics, or quantitative social sciences) may also fulfil requirements for the programme if applicants have sufficient background knowledge in economics. Applicants whose native language is not English must demonstrate English language proficiency. For more information on the application requirements, visit: https://www.diw.de/en/diw_01.c.799242.en/application.html.","Applicants whose native language is not English must demonstrate English language proficiency unless they hold a degree from a university in an English-speaking country, have studied at least one semester at an English-speaking university, or can prove that the majority of courses during their Master's studies were taught in English. Sufficient evidence for a good command of English is a high score on the ""Test of English as a Foreign Language"" (TOEFL).","Middle of January for the following winter semester starting on 1 October
Please check our website for updates."
Doctoral Programme / EBS Business School,EBS Universität für Wirtschaft und Recht,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3937/,"The first step in applying for the Doctoral Programme at EBS Business School is to get the promise of supervision by one of our senior professors. This statement, together with the following documents, must be passed to the Office for Doctoral Studies:
Short formless letter in English to the Chairman of the Doctoral Committee, asking for acceptance
	If required: GMAT
	Curriculum Vitae in tabular form
	A-level certificate (legally certified copy)
	Degree certificates and transcripts of records (legally certified copies)
	Honorary Declaration not to have failed doctoral studies at another institution
	English language certificate
	Applicants must submit a (maximum three-page) proposal for the dissertation project in English that demonstrates relevance and fit to the research topics of EBS Business School. The final admission decision is made by a committee that meets twice a year and consists of the members of the PhD Committee, the Dean of the Business School and the Vice Dean of Research. For full details on the admission process, see PhD Regulations §4.
",English language certificate (C1 certificate or TOEFL test with 100 points minimum),"To apply as a doctoral student, applicants need to obtain a promise of doctoral supervision by a senior professor of EBS Business School and then apply to the Doctoral Committee via the Office for Doctoral Studies. The Doctoral Committee decides on the admission of new applicants."
Doctoral Programme Clinical Pharmacy,Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4877/,Applicants must hold an MSc or an equivalent degree in Pharmacy or Pharmaceutical Science.,"It is essential that the applicants have profound German language skills (minimum requirement CEFR-C1), as the majority of the work is performed in the hospital wards while interacting with patients. Therefore, applicants must provide proof of their German skills.
In addition, good English skills are required.",Applications can only be submitted when the programme has open calls.
Doctoral Programme Environment and Society,Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4214/,Candidates must have a Master's degree or equivalent (with thesis) with exceptionally good grades. They must fulfil Ludwig-Maximilians-Universität München's doctoral programme admission requirements.,"To be admitted to the doctoral programme Environment and Society, applicants need to have a good command of English. Please consult the respective doctoral regulations (""Promotionsordnung"") for specific requirements.",Applications have to be admitted via the online application portal by 10 April. The application portal will open on 10 January. Please check the website of the programme for further information.
"Doctoral Programme in Accounting, Economics, Finance & Management",Frankfurt School of Finance &amp; Management,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/10528/,"CV and list of publications (if applicable)
	Certified copy of your university entrance qualification (Abitur, A-levels or equivalent)
	Certified copy of your university degree certificate or equivalent and academic transcript of records
	Official GMAT or GRE results
	English test
	Statement of purpose (up to two pages)
	Two letters of recommendation
	Optional statement
",English language proficiency test (TOEFL IBT min. score of 100 / IELTS min. score of 7.0),The application deadline for the doctoral programme at Frankfurt School is 15 January 2026.
Doctoral Programme in Buddhist Studies,Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4111/,"Academic admission requirements include an excellent degree (""Magister Artium"", ""Diplom"", ""Staatsexamen"", Master of Arts [with thesis], ""Maitrise"", ""Laurea"", etc.) in Buddhist studies, the study of religions, (Asian) cultural studies, or (Asian) philosophy. In exceptional cases, an excellent BA degree can also be accepted.","Language requirements include sufficient knowledge of English and, depending on the dissertation project, German (or willingness to study German intensively) and an Asian language relevant for the study of Buddhism.","1 June (to start in October), 1 December (to start in April)"
Doctoral Programme in Governance,Hertie School,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4378/,"The doctoral programme in Governance is open to candidates with an exceptionally strong Master's degree (or equivalent) in political science, economics, law, sociology, data science, public administration, management, or related fields. The applicant's Master's degree should have been conferred by the time of enrolment at the Hertie School.","Unless you are a native speaker or you have completed an entire degree at an English-language university (four semesters), English language skills must be verified with an official English test, at least upon admission to the programme. The Hertie School recognises the Cambridge ESOL qualifications CPE (C), CAE (B), and the IELTS (with an overall score of at least 7.0 and a writing score of at least 7.0), as well as the TOEFL tests (PBT 600, CBT 250, iBT 100).
Proof of German proficiency is not required.",The application deadline is dependent on the specific open position. We advertise open PhD positions throughout the year. Learn more about PhD opportunities at the Hertie School and the relevant application deadlines here. Further information on the application procedure can be found on our How to Apply webpage.
Doctoral Programme in Law (Doctor Juris),University of Münster,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3637/,"In order to be admitted to the Doctor Juris programme, the applicant is required to have completed a ""Magister Legum"" or a Master's programme in ""German Law"" at any law faculty in Germany (""magna cum laude"").",None,"Rechtswissenschaftliche Fakultät
Promotionsausschuss
Universitätsstraße 14-16
48143 Münster
Germany"
Doctoral Programme in Neuroscience,University of Tübingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3822/,Master of Science or equivalent degree,Applicants must provide proof of English language competence.,Students pursuing a doctoral degree can apply throughout the year – there are no application deadlines.
Doctoral Programme in the Field of Cognition,Max Planck School of Cognition,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7152/,"By the time of admission into the programme, applicants must have completed a Bachelor's and/or Master's degree in a field related to cognition, such as artificial intelligence, biology, cognitive neuroscience, neuroscience, genetics, linguistics, mathematics, neurobiology, neuroimaging, neurology, neurophysics, philosophy, physics, psychiatry, psychology, or a related subject. A subject is related when it has at least 60 ECTS or 30 equivalent credits in the British/American/Australian credit system including assignments in the fields mentioned above. These assignments must be clearly defined as relating to the aforementioned subjects in the Bachelor's transcript.","Solid knowledge of the English language (B2 level) is necessary for success in the programme, which is conducted completely in English.",The application opens in September and the deadline is 1 December every year.
Doctoral Programme of the School of Business and Economics,FAU Erlangen-Nürnberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4478/,"Applicants must have completed an excellent Master's degree in either economics, business, and/or social sciences and must have passed the final examinations associated with that degree at their home university.
First of all, applicants must be accepted into the programme by a supervisor. Further information can be found here: https://www.promotion.rw.fau.eu/",The respective supervisor will decide on language requirements in each individual case.,"Friedrich-Alexander Universität Erlangen-Nürnberg
Fachbereich Wirtschafts- und Sozialwissenschaften
Referat für Forschung und Promotion
Findelgasse 7/9
90402 Nürnberg
Germany"
Doctoral School: Cultural Conflicts – Conflict Cultures / Conflits de culture – Cultures de conflits,Heinrich Heine University Düsseldorf,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9580/,N/A,N/A,N/A
Doctoral Studies at the University of Bamberg,University of Bamberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6201/,N/A,N/A,N/A
Doctoral Training Programme in the Learning Sciences (DTP-LS),Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4127/,"We are happy to welcome new students with the following qualifications:
successfully completed university studies with a Master's degree, ""Magister"", ""Diplom"", or equivalent degree pertinent to the learning sciences
	good or excellent degree from previous studies
	very good knowledge of methodology and research skills
	very good skills in oral and written English
	research interest in the field of learning sciences

For the online application, the following documents are required:
MCLS recommendation letter issued by an MCLS member 
	one reference letter issued by a previous professor/instructor (must not be your potential supervisor)
	a certified copy of the Bachelor's and Master's certificate (or equivalent) and of the respective transcripts of records
	research proposal
	letter of motivation
	CV with up-to-date information
	proof of English proficiency

Important note: The MCLS recommendation letter (point 1) and the reference letter (point 2) are two independent criteria! A complete application comprises two separate letters, issued by two different professors (one from a potential supervisor and one from a previous professor). The documents must be uploaded to the online application platform by the professors using the upload form by 15 March (They will get an e-mail notification with the request to upload the respective document).","Instruction and research are carried out in English. If your native language is not English, you are required to take a test of English proficiency (for example, the Test of English as a Foreign Language [TOEFL] or the International English Language Testing System [IELTS]) and enclose a photocopy of your test results with your application. Previous studies conducted in English are also accepted. The minimal level of English proficiency that is required is B2 CEFR.","All students – online application: 1 March for the following winter semester 
https://www.lmu.de/psy/de/studium/doctoral-training-program-in-the-learning-sciences/
International students — hard copy application in addition to online application:
31 May for the following winter semester (Please send documents to the programme coordinators.)
https://www.lmu.de/psy/de/studium/doctoral-training-program-in-the-learning-sciences/"
Dresden International Graduate School for Interdisciplinary Life Sciences (DIGS-ILS),Dresden University of Technology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3834/,"We welcome curious, motivated, and talented applicants from all backgrounds and nationalities.
To join DIGS-ILS, you should have:
A strong academic record
	Some hands-on research experience
	A genuine drive to explore complex scientific questions

You’ll need to hold — or be close to completing — a Master’s degree (or equivalent) in a relevant field, such as:
Life sciences or natural sciences
	Bioengineering or materials science
	Medicine
	Computer science, physics/biophysics, or applied mathematics

If you’re excited about interdisciplinary research and ready to grow as an independent scientist, we encourage you to apply.","The language of the programme is English. Therefore, a high proficiency in English is required. A formal proof is not obligatory. However, TOEFL or IELTS results and GRE examination results can be uploaded within the online application system.","Applications are accepted twice a year via an online application system. For detailed information on the calls for 2025/2026, please visit our website: www.digs-ils.phd/phd."
Dresden Leibniz Graduate School (DLGS) in Sustainability Sciences,Leibniz Institute of Ecological Urban and Regional Development (IOER),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4291/,"DLGS accepts competitive applications for:
Current call (deadline: 1 September 2025) https://dlgs-dresden.de/application/funding/scholarships OR
	Open topic https://dlgs-dresden.de/application/funding/rolling-applications (rolling deadline)

To enter the selection process for 1 or 2 (above), applicants must meet the following criteria:
First Master’s degree obtained within the last three years before application (date of certificate)
	Total grade obtained for the Master’s degree ""good"" or better (corresponding to German level ""gut"")
	Research proposal within scope that clearly
	addresses the annual topic (only when applying for the current call)
		addresses the scientific profile and remit of DLGS
		aligns with IOER research areas (one or several)
		identifies suitable supervisors (professors) at the TUD/ IOER (please do not contact potential supervisors in advance)
	
	Complete online application (in English only) with all supporting documents requested
","Applicants whose first language is not English or who have not earned a Master's degree in an English-speaking country are required to demonstrate English language proficiency through either the Test of English as Foreign Language (TOEFL) or the International English Language Testing System (IELTS). The minimum accepted score for TOEFL is 600 for the paper-based test, 250 for the computer-based test or 100 for the Internet-based test. An IELTS test is accepted with a band score of 7 or better on a nine-point scale (academic modules).
ONLY applicants for transdisciplinary research must demonstrate German language proficiency (C1 level) for working with diverse local stakeholders.",1 September 2025 for the annual-call application OR rolling deadline for open-topic application 
Environmental and Resource Management,Brandenburg University of Technology Cottbus-Senftenberg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8339/,"The PhD programme is open to national and international students who hold a Master's degree or equivalent in Environmental Science, Environmental Engineering, Environmental Economics, Environmental Management, Environmental Law, Applied Chemistry, Biotechnology, or a related subject. Eligible candidates should have achieved a final grade of at least 2.3 (according to the German grading system).
The application includes a comprehensive research proposal. While you have the autonomy to choose the research topic for your proposal, it is essential to ensure that the research proposal topic aligns with the research focus of the PhD programme.","A certificate of proficiency in English must be provided, except for graduates of English language Master's programmes in Germany and graduates from certain countries.
Accepted tests and minimum scores include:
TOEFL with a minimum score of 550 points (paper-based), 213 points (computer-based), or 79 points (Internet-based)
	Cambridge Advanced English test (minimum grade B)
	Cambridge Certificate of Proficiency (minimum grade C)
	IELTS Academic (minimum 6.5)
","There are no application deadlines; applications can be submitted throughout the year.
For enrolment in the summer semester (starting 1 April), we recommend applying by 1 November. For enrolment in the winter semester (starting 1 October), we recommend applying by 1 May."
